,combination,f_pos_train,f_neg_train,acc_train,f_pos_test,f_neg_test,acc_test
1,rank,0.180647407,0.178693193,0.6406594,0.180615748,0.17848032,0.640903931
2,"rank, move",0.266217274,0.225647368,0.508135357,0.267272981,0.225964883,0.506762136
3,form,0.207097573,0.195513219,0.597389208,0.206745249,0.195563547,0.597691203
4,h2h,0.341489502,0.113636242,0.544874256,0.342453343,0.114133386,0.543413272
5,"win, condition",0.194223355,0.191814742,0.613961903,0.194023475,0.191693914,0.614282612
6,"rank, rank, move",0.180991084,0.177908057,0.641100859,0.181081654,0.177936773,0.640981573
7,"rank, form",0.183628336,0.182211926,0.634159738,0.183631223,0.182440592,0.633928185
8,"rank, h2h",0.185952106,0.182456383,0.631591511,0.185947788,0.182595827,0.631456385
9,"rank, win, condition",0.178693195,0.178118003,0.643188801,0.178803938,0.178169786,0.643026275
10,"rank, move, form",0.205901177,0.196368815,0.597730008,0.205671057,0.196120071,0.598208872
11,"rank, move, h2h",0.284375917,0.165478199,0.550145884,0.285315096,0.16657375,0.548111155
12,"rank, move, win, condition",0.193671172,0.191836311,0.614492517,0.193648147,0.191771567,0.614580286
13,"form, h2h",0.205804834,0.188382285,0.605812882,0.206046379,0.188510297,0.605443324
14,"form, win, condition",0.188160841,0.187868931,0.623970228,0.188173784,0.188160848,0.623665368
15,"h2h, win, condition",0.195068886,0.190490365,0.614440749,0.195317616,0.190348019,0.614334365
16,"rank, rank, move, form",0.183645591,0.182269445,0.634084963,0.183695927,0.182401766,0.633902307
17,"rank, rank, move, h2h",0.185894588,0.181990478,0.632114935,0.185973672,0.18212993,0.631896399
18,"rank, rank, move, win, condition",0.178678815,0.177862043,0.643459141,0.17866156,0.178014497,0.643323943
19,"rank, form, h2h",0.182101203,0.180388571,0.637510226,0.182272334,0.180266353,0.637461313
20,"rank, form, win, condition",0.177994338,0.177869233,0.644136429,0.178027422,0.17801446,0.643958118
21,"rank, h2h, win, condition",0.179289956,0.177915249,0.642794796,0.179425135,0.177949787,0.642625078
22,"rank, move, form, h2h",0.205436708,0.188641125,0.605922168,0.205541692,0.188626737,0.605831571
23,"rank, move, form, win, condition",0.188042927,0.187927888,0.624029185,0.187979655,0.188238498,0.623781847
24,"rank, move, h2h, win, condition",0.194595791,0.191056928,0.614347281,0.194761121,0.190878629,0.61436025
25,"form, h2h, win, condition",0.187762521,0.186672534,0.625564945,0.187552588,0.186750206,0.625697206
26,"rank, rank, move, form, h2h",0.182223431,0.180469097,0.637307472,0.182414699,0.180434602,0.637150699
27,"rank, rank, move, form, win, condition",0.178018783,0.177775764,0.644205452,0.178014483,0.177872104,0.644113413
28,"rank, rank, move, h2h, win, condition",0.179338847,0.177611835,0.643049318,0.179425126,0.177703891,0.642870983
29,"rank, form, h2h, win, condition",0.178033163,0.176694405,0.645272432,0.178105075,0.176746153,0.645148772
30,"rank, move, form, h2h, win, condition",0.187658987,0.18676025,0.625580763,0.187474938,0.186892564,0.625632498
31,"rank, rank, move, form, h2h, win, condition",0.177925315,0.176692968,0.645381718,0.178040368,0.176564974,0.645394658
